MGRS_TILE,count,date,row_id,mean,median,p25,p75,stdDev
31UFT,0,2026-01-29,3,,,,,
31UFT,0,2026-01-29,4,,,,,
31UFT,0,2026-01-29,5,,,,,
31UFT,0,2026-01-29,6,,,,,
31UFT,0,2026-01-31,0,,,,,
31UFT,0,2026-01-31,1,,,,,
31UFT,0,2026-01-31,2,,,,,
31UFT,0,2026-01-31,3,,,,,
31UFT,0,2026-01-31,4,,,,,
31UFT,0,2026-01-31,5,,,,,
31UFT,0,2026-01-31,6,,,,,
31UFT,0,2026-02-03,0,,,,,
31UFT,0,2026-02-03,1,,,,,
31UFT,0,2026-02-03,2,,,,,
31UFT,0,2026-02-03,3,,,,,
31UFT,0,2026-02-03,4,,,,,
31UFT,0,2026-02-03,5,,,,,
31UFT,0,2026-02-03,6,,,,,
31UFT,0,2026-02-03,0,,,,,
31UFT,0,2026-02-03,1,,,,,
31UFT,0,2026-02-03,2,,,,,
31UFT,0,2026-02-03,3,,,,,
31UFT,0,2026-02-03,4,,,,,
31UFT,0,2026-02-03,5,,,,,
31UFT,0,2026-02-03,6,,,,,
31UFT,0,2026-02-05,0,,,,,
31UFT,0,2026-02-05,1,,,,,
31UFT,0,2026-02-05,2,,,,,
31UFT,0,2026-02-05,3,,,,,
31UFT,0,2026-02-05,4,,,,,
31UFT,0,2026-02-05,5,,,,,
31UFT,0,2026-02-05,6,,,,,
31UFT,190,2026-02-08,0,0.723315610118175,0.7272819009199926,0.7117805416329505,0.7464647990230551,0.03725370825992779
31UFT,9,2026-02-08,1,0.22476155959010882,0.24827587565306053,0.2055555667659198,0.2842105065026117,0.06084006517641215
31UFT,92,2026-02-08,2,0.444521789353833,0.44366636489201433,0.37943924491775516,0.49478261765324993,0.07787141756639997
31UFT,20,2026-02-08,3,0.31774127378645745,0.30656934232138955,0.27649208879476694,0.3665031237225315,0.0579472741781303
31UFT,16,2026-02-08,4,0.464999931288844,0.45827815504085806,0.41585759649692505,0.5000000100358035,0.07224589203748728
31UFT,13,2026-02-08,5,0.5656296825292593,0.5662237355449391,0.5496062896043102,0.5957295286478937,0.04680805687221799
31UFT,35,2026-02-08,6,0.2029160141299836,0.23243243733054963,0.11614732372978813,0.29765011023163135,0.09450887875623229
31UFT,0,2026-02-10,0,,,,,
31UFT,0,2026-02-10,1,,,,,
31UFT,0,2026-02-10,2,,,,,
31UFT,0,2026-02-10,3,,,,,
31UFT,0,2026-02-10,4,,,,,
31UFT,0,2026-02-10,5,,,,,
31UFT,0,2026-02-10,6,,,,,
31UFT,0,2026-02-10,0,,,,,
31UFT,0,2026-02-10,1,,,,,
31UFT,0,2026-02-10,2,,,,,
31UFT,0,2026-02-10,3,,,,,
31UFT,0,2026-02-10,4,,,,,
31UFT,0,2026-02-10,5,,,,,
31UFT,0,2026-02-10,6,,,,,
31UFT,0,2026-02-13,0,,,,,
31UFT,0,2026-02-13,1,,,,,
31UFT,0,2026-02-13,2,,,,,
31UFT,0,2026-02-13,3,,,,,
31UFT,0,2026-02-13,4,,,,,
31UFT,0,2026-02-13,5,,,,,
31UFT,0,2026-02-13,6,,,,,
31UFT,0,2026-02-13,0,,,,,
31UFT,0,2026-02-13,1,,,,,
31UFT,0,2026-02-13,2,,,,,
31UFT,0,2026-02-13,3,,,,,
31UFT,0,2026-02-13,4,,,,,
31UFT,0,2026-02-13,5,,,,,
31UFT,0,2026-02-13,6,,,,,
31UFT,190,2026-02-15,0,0.7182131396500225,0.7218475427251958,0.7041217518293302,0.7413049474515503,0.04750157290502768
31UFT,9,2026-02-15,1,0.2379692778406806,0.30221882787890897,0.23485363299104872,0.3071065963450364,0.1188073524656977
31UFT,92,2026-02-15,2,0.42912193785201896,0.4310742307954163,0.39613526706668245,0.47042252417556,0.06664665589811825
31UFT,20,2026-02-15,3,0.3239730188102919,0.3270223966247972,0.3092719299168813,0.34796748469799194,0.02730970711859439
31UFT,16,2026-02-15,4,0.4403735506655553,0.42190670516914053,0.391845985109555,0.4937853318526462,0.05993148837411877
31UFT,13,2026-02-15,5,0.5436549157553021,0.5489130436616498,0.4875816836871044,0.5956151018189695,0.0525540100191486
31UFT,35,2026-02-15,6,0.1603480737322339,0.17014927099265725,0.12990937133924807,0.2800565527527854,0.16364322735734196
31UFT,0,2026-02-18,0,,,,,
31UFT,0,2026-02-18,1,,,,,
31UFT,0,2026-02-18,2,,,,,
31UFT,0,2026-02-18,3,,,,,
31UFT,0,2026-02-18,4,,,,,
31UFT,0,2026-02-18,5,,,,,
31UFT,0,2026-02-18,6,,,,,
31UFT,0,2026-02-20,0,,,,,
31UFT,0,2026-02-20,1,,,,,
31UFT,0,2026-02-20,2,,,,,
31UFT,0,2026-02-20,3,,,,,
31UFT,0,2026-02-20,4,,,,,
31UFT,0,2026-02-20,5,,,,,
31UFT,0,2026-02-20,6,,,,,
31UFT,0,2026-02-20,0,,,,,
31UFT,0,2026-02-20,1,,,,,
31UFT,0,2026-02-20,2,,,,,
31UFT,0,2026-02-20,3,,,,,
31UFT,0,2026-02-20,4,,,,,
31UFT,0,2026-02-20,5,,,,,
31UFT,0,2026-02-20,6,,,,,
31UFT,0,2026-02-23,0,,,,,
31UFT,0,2026-02-23,1,,,,,
31UFT,0,2026-02-23,2,,,,,
31UFT,0,2026-02-23,3,,,,,
31UFT,0,2026-02-23,4,,,,,
31UFT,0,2026-02-23,5,,,,,
31UFT,0,2026-02-23,6,,,,,
31UFT,0,2026-02-23,0,,,,,
31UFT,0,2026-02-23,1,,,,,
31UFT,0,2026-02-23,2,,,,,
31UFT,0,2026-02-23,3,,,,,
31UFT,0,2026-02-23,4,,,,,
31UFT,0,2026-02-23,5,,,,,
31UFT,0,2026-02-23,6,,,,,
31UFT,190,2026-02-25,0,0.7199680973145015,0.7236468405227543,0.7115968335275439,0.7353740590598313,0.04981631022038433
31UFT,9,2026-02-25,1,0.23251494547045287,0.25042881575413184,0.16343044134170367,0.3072289229291026,0.06003031589537213
31UFT,92,2026-02-25,2,0.43091892631154843,0.42922279412863246,0.38552209376092356,0.4947067730714262,0.08091901623676764
31UFT,20,2026-02-25,3,0.3100895381000713,0.30787978503107516,0.26034715527089275,0.3572120230731423,0.053092639432730224
31UFT,16,2026-02-25,4,0.4504075725207548,0.4691358169794028,0.4222222144763296,0.4747023689907729,0.05673712507380979
31UFT,13,2026-02-25,5,0.5553519647850356,0.5700164570993916,0.5156794370061111,0.582159625165829,0.04018748759283159
31UFT,35,2026-02-25,6,0.10549902088354077,0.1858974479522769,-0.0035842566695631134,0.2450593153093088,0.2034062678925688
31UFT,0,2026-02-28,0,,,,,
31UFT,0,2026-02-28,1,,,,,
31UFT,0,2026-02-28,2,,,,,
31UFT,0,2026-02-28,3,,,,,
31UFT,0,2026-02-28,4,,,,,
31UFT,0,2026-02-28,5,,,,,
31UFT,0,2026-02-28,6,,,,,
31UFT,190,2026-03-02,0,0.7191872396846631,0.7258988324851455,0.7046632024897465,0.7393410365604678,0.05570766587768829
31UFT,9,2026-03-02,1,0.2369252187097423,0.2543926552868388,0.19662446578237602,0.2679738592047123,0.03448039591008065
